Time,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13
134,295.0,264.0,163.0,221.0,139.0,100.0,60.0,44.0,-3.0,-1.0,1.0,0.0
135,295.0,264.0,163.0,221.0,139.0,100.0,60.0,44.0,-3.0,-1.0,1.0,0.0
136,295.0,262.0,161.0,217.0,138.0,97.0,58.0,42.0,-2.0,0.0,2.0,0.0
137,295.0,262.0,161.0,217.0,138.0,97.0,58.0,42.0,-2.0,0.0,2.0,0.0
138,295.0,262.0,161.0,217.0,138.0,97.0,58.0,42.0,-2.0,0.0,2.0,0.0
139,295.0,262.0,161.0,217.0,138.0,97.0,58.0,42.0,-2.0,0.0,2.0,0.0
140,290.0,261.0,159.0,215.0,134.0,93.0,54.0,39.0,-4.0,-1.0,2.0,0.0
141,290.0,261.0,159.0,215.0,134.0,93.0,54.0,39.0,-4.0,-1.0,2.0,0.0
142,290.0,261.0,159.0,215.0,134.0,93.0,54.0,39.0,-4.0,-1.0,2.0,0.0
143,288.0,257.0,154.0,210.0,130.0,89.0,50.0,34.0,-6.0,-4.0,-3.0,0.0
144,288.0,257.0,154.0,210.0,130.0,89.0,50.0,34.0,-6.0,-4.0,-3.0,0.0
145,288.0,257.0,154.0,210.0,130.0,89.0,50.0,34.0,-6.0,-4.0,-3.0,0.0
146,288.0,257.0,154.0,210.0,130.0,89.0,50.0,34.0,-6.0,-4.0,-3.0,0.0
147,285.0,254.0,153.0,211.0,130.0,89.0,49.0,33.0,-2.0,1.0,-2.0,0.0
148,285.0,254.0,153.0,211.0,130.0,89.0,49.0,33.0,-2.0,1.0,-2.0,0.0
149,285.0,254.0,153.0,211.0,130.0,89.0,49.0,33.0,-2.0,1.0,-2.0,0.0
150,281.0,252.0,150.0,207.0,127.0,85.0,46.0,33.0,-2.0,-2.0,-2.0,0.0
151,281.0,252.0,150.0,207.0,127.0,85.0,46.0,33.0,-2.0,-2.0,-2.0,0.0
152,281.0,252.0,150.0,207.0,127.0,85.0,46.0,33.0,-2.0,-2.0,-2.0,0.0
153,281.0,252.0,150.0,207.0,127.0,85.0,46.0,33.0,-2.0,-2.0,-2.0,0.0
154,275.0,245.0,140.0,197.0,123.0,80.0,39.0,28.0,-5.0,-1.0,-3.0,0.0
155,275.0,245.0,140.0,197.0,123.0,80.0,39.0,28.0,-5.0,-1.0,-3.0,0.0
156,275.0,245.0,140.0,197.0,123.0,80.0,39.0,28.0,-5.0,-1.0,-3.0,0.0
