,Comments,T,P
15 36 41 ,,170,748.4
15 36 42 ,,170,748.4
15 36 43 ,,170,748.4
15 36 44 ,,170,748.4
15 36 45 ,,170,748.4
15 36 46 ,,170,748.4
15 36 47 ,,170,748.4
15 36 48 ,,170,748.4
15 36 49 ,,170,748.4
15 36 50 ,,170,748.4
15 36 51 ,,170,748.4
15 36 52 ,,170,748.4
15 36 53 ,,170,748.4
15 36 54 ,,170,748.4
15 36 55 ,,170,748.4
15 36 56 ,,170,748.4
15 36 57 ,,170,748.4
15 36 58 ,,170,748.4
15 36 59 ,,170,748.4
15 37 00 ,,170,748.4
15 37 01 ,,170,748.4
15 37 02 ,,170,748.4
15 37 03 ,,170,748.4
15 37 04 ,,170,748.4
15 37 05 ,,170,748.4
15 37 06 ,,170,748.4
15 37 07 ,,170,748.4
15 37 08 ,,170,748.4
15 37 09 ,,170,748.4
15 37 10 ,,170,748.4
15 37 11 ,,170,748.4
15 37 12 ,,170,748.4
15 37 13 ,,170,748.4
15 37 14 ,,170,748.4
15 37 15 ,,170,748.4
15 37 16 ,,170,748.4
15 37 17 ,,170,748.4
15 37 18 ,,170,748.4
15 37 19 ,,170,748.4
15 37 20 ,,170,748.4
15 37 21 ,,170,748.4
15 37 22 ,,170,748.4
15 37 23 ,,170,748.4
15 37 24 ,,170,748.4
15 37 25 ,,170,748.4
15 37 26 ,,170,748.4
15 37 27 ,,170,748.4
15 37 28 ,,170,748.4
15 37 29 ,,170,748.4
15 37 30 ,,170,748.4
15 37 31 ,,170,748.4
15 37 32 ,,170,748.4
15 37 33 ,,170,748.4
15 37 34 ,,170,748.4
15 37 35 ,,170,748.4
15 37 36 ,,170,748.4
15 37 37 ,,170,748.4
15 37 38 ,,170,748.4
15 37 39 ,,170,748.4
15 37 40 ,,170,748.4
15 37 41 ,,170,748.4
15 37 42 ,,170,748.4
15 37 43 ,,170,748.4
15 37 44 ,,170,748.4
15 37 45 ,,170,748.4
15 37 46 ,,170,748.4
