Tempo,O2
345,7.78
346,7.78
347,7.78
348,7.88
349,7.88
350,7.88
351,7.99
352,7.99
353,7.99
354,7.99
355,8.38
356,8.38
357,8.38
358,8.95
359,8.95
360,8.95
361,8.95
362,9.36
363,9.36
364,9.36
365,9.36
366,9.95
367,9.95
368,9.95
369,9.95
370,10.5
371,10.5
372,10.5
373,10.5
374,10.68
375,10.68
376,10.68
377,10.68
378,10.59
379,10.59
380,10.59
381,10.42
382,10.42
383,10.42
384,10.42
385,10.36
386,10.36
387,10.36
388,10.24
389,10.24
390,10.24
391,10.24
392,10.12
393,10.12
394,10.12
395,10.12
396,10.13
397,10.13
398,10.13
399,10.27
400,10.27
401,10.27
402,10.27
403,10.33
404,10.33
405,10.33
406,10.33
407,10.3
408,10.3
409,10.3
410,10.34
411,10.34
412,10.34
413,10.34
414,10.49
415,10.49
416,10.49
417,10.49
418,10.73
419,10.73
420,10.73
421,10.73
422,11.03
423,11.03
424,11.03
425,11.03
426,11.34
427,11.34
428,11.34
429,11.61
430,11.61
431,11.61
432,11.61
433,12.02
434,12.02
435,12.02
436,12.02
437,12.3
438,12.3
439,12.3
440,12.58
441,12.58
442,12.58
443,12.58
444,12.78
445,12.78
446,12.78
447,12.78
448,12.88
449,12.88
450,12.88
451,12.91
452,12.91
453,12.91
454,12.91
455,12.99
456,12.99
457,12.99
458,12.99
459,13.15
460,13.15
461,13.15
462,13.35
463,13.35
464,13.35
465,13.35
466,13.51
467,13.51
468,13.51
469,13.51
470,13.67
471,13.67
472,13.67
473,13.79
474,13.79
475,13.79
476,13.79
477,13.94
478,13.94
479,13.94
480,14.1
481,14.1
482,14.1
483,14.1
484,14.24
485,14.24
486,14.24
487,14.24
488,14.29
489,14.29
490,14.29
491,14.29
492,14.31
493,14.31
494,14.31
495,14.31
496,14.31
497,14.31
498,14.31
499,14.25
500,14.25
501,14.25
502,14.2
503,14.2
504,14.2
505,14.2
506,14.13
507,14.13
508,14.13
509,14.13
510,14.09
511,14.09
512,14.09
513,14.12
514,14.12
515,14.12
516,14.12
517,14.17
518,14.17
519,14.17
520,14.17
521,14.24
522,14.24
523,14.24
524,14.35
525,14.35
526,14.35
527,14.35
528,14.49
529,14.49
530,14.49
531,14.49
532,14.58
533,14.58
534,14.58
535,14.63
536,14.63
537,14.63
538,14.63
539,14.67
540,14.67
541,14.67
542,14.67
543,14.7
544,14.7
545,14.7
546,14.67
547,14.67
548,14.67
549,14.67
550,14.54
551,14.54
552,14.54
553,14.54
554,14.34
555,14.34
556,14.34
557,14.34
558,14.13
559,14.13
560,14.13
561,13.94
562,13.94
563,13.94
564,13.94
565,13.77
566,13.77
567,13.77
568,13.77
569,13.56
570,13.56
571,13.56
572,13.12
573,13.12
574,13.12
575,13.12
576,12.79
577,12.79
578,12.79
579,12.38
580,12.38
581,12.38
582,12.38
583,12.01
584,12.01
585,12.01
586,12.01
587,11.7
588,11.7
589,11.7
590,11.47
591,11.47
592,11.47
593,11.47
594,11.29
595,11.29
596,11.29
597,11.29
598,11.13
599,11.13
600,11.13
601,11.05
602,11.05
603,11.05
604,11.05
605,11.02
606,11.02
607,11.02
608,11.02
609,10.93
610,10.93
611,10.93
612,10.76
613,10.76
614,10.76
615,10.76
616,10.37
617,10.37
618,10.37
619,10.37
620,10.07
621,10.07
622,10.07
623,10.07
624,9.8
625,9.8
626,9.8
627,9.63
628,9.63
629,9.63
630,9.63
631,9.47
632,9.47
633,9.47
634,9.47
635,9.37
636,9.37
637,9.37
638,9.37
639,9.29
640,9.29
641,9.29
642,9.2
643,9.2
644,9.2
645,9.2
646,9.05
647,9.05
648,9.05
649,8.62
650,8.62
651,8.62
652,8.62
653,8.1
654,8.1
655,8.1
656,8.1
657,7.5
658,7.5
659,7.5
660,6.93
661,6.93
662,6.93
663,6.93
664,6.19
665,6.19
666,6.19
667,5.28
668,5.28
669,5.28
670,5.28
671,4.4
672,4.4
673,4.4
674,4.4
675,3.57
676,3.57
677,3.57
678,3.19
679,3.19
680,3.19
681,3.19
682,3.01
683,3.01
684,3.01
685,3.01
686,2.82
687,2.82
688,2.82
689,2.79
690,2.79
691,2.79
692,2.79
693,2.84
694,2.84
695,2.84
696,2.84
697,2.74
698,2.74
699,2.74
700,2.57
701,2.57
702,2.57
703,2.57
704,2.47
705,2.47
706,2.47
707,2.47
708,2.47
709,2.47
710,2.47
711,2.61
712,2.61
713,2.61
714,2.61
715,3.18
716,3.18
717,3.18
718,3.18
719,4.05
720,4.05
721,4.05
722,4.7
723,4.7
724,4.7
725,4.7
726,6.33
727,6.33
728,6.33
729,7.78
730,7.78
731,7.78
732,7.78
733,9.38
734,9.38
735,9.38
736,9.38
737,10.41
738,10.41
739,10.41
740,11.68
741,11.68
742,11.68
743,11.68
744,12.49
745,12.49
746,12.49
747,12.49
748,13.26
749,13.26
750,13.26
751,13.86
752,13.86
753,13.86
754,13.86
755,14.25
756,14.25
757,14.25
758,14.25
759,14.6
760,14.6
761,14.6
762,14.6
763,14.89
764,14.89
765,14.89
766,15.18
767,15.18
768,15.18
769,15.18
770,15.39
771,15.39
772,15.39
773,15.59
774,15.59
775,15.59
776,15.59
777,15.73
778,15.73
779,15.73
780,15.86
781,15.86
782,15.86
783,15.86
784,15.96
785,15.96
786,15.96
787,15.96
788,16.03
789,16.03
790,16.03
791,16.09
792,16.09
793,16.09
794,16.09
795,16.14
796,16.14
797,16.14
798,16.14
799,16.18
800,16.18
801,16.18
802,16.21
803,16.21
804,16.21
805,16.21
806,16.24
807,16.24
808,16.24
809,16.24
810,16.26
811,16.26
812,16.26
813,16.27
814,16.27
815,16.27
816,16.27
817,16.29
818,16.29
819,16.29
820,16.29
821,16.31
822,16.31
823,16.31
824,16.32
825,16.32
826,16.32
827,16.32
828,16.32
829,16.32
830,16.32
831,16.32
832,16.32
833,16.32
834,16.32
835,16.33
836,16.33
837,16.33
838,16.33
839,16.33
840,16.33
841,16.33
842,16.34
843,16.34
844,16.34
845,16.34
846,16.34
847,16.34
848,16.34
849,16.34
850,16.35
851,16.35
852,16.35
853,16.35
854,16.35
855,16.35
856,16.35
857,16.35
858,16.35
859,16.35
860,16.35
861,16.35
862,16.35
863,16.35
864,16.35
865,16.36
866,16.36
867,16.36
868,16.36
869,16.36
870,16.36
871,16.36
872,18.04
873,18.04
874,18.04
875,18.04
876,18.05
877,18.05
878,18.05
879,18.05
880,18.05
881,18.05
882,18.05
883,18.04
884,18.04
885,18.04
886,18.04
887,18.04
888,18.04
889,18.04
890,18.04
891,18.04
892,18.04
893,18.04
894,18.06
895,18.06
896,18.06
897,18.06
898,18.07
899,18.07
900,18.07
901,18.07
902,18.07
903,18.07
904,18.07
905,18.07
906,18.07
907,18.07
908,18.07
909,18.07
910,18.07
911,18.07
912,18.07
913,18.07
914,18.07
915,18.07
916,18.07
917,18.07
918,18.07
919,18.07
920,18.07
921,18.07
922,18.07
923,18.07
924,18.07
925,18.07
926,18.07
927,18.07
928,18.07
929,18.07
930,18.07
931,18.07
932,18.07
933,18.07
934,18.07
935,18.07
936,18.07
937,18.07
938,18.07
939,18.07
940,18.07
941,18.07
942,18.07
943,18.07
944,18.07
945,18.07
946,18.07
947,18.07
948,18.07
949,18.07
950,18.07
951,18.07
952,18.07
953,18.07
954,18.07
955,18.07
956,18.06
957,18.06
958,18.06
959,18.07
960,18.07
961,18.07
962,18.07
963,18.07
964,18.07
965,18.07
966,18.07
967,18.07
968,18.07
969,18.07
970,18.07
971,18.07
972,18.07
973,18.07
974,18.07
975,18.07
976,18.07
977,18.07
978,18.07
979,18.07
980,18.07
981,18.06
982,18.06
983,18.06
984,18.06
985,18.06
986,18.06
987,18.06
988,18.06
989,18.06
990,18.06
991,18.06
992,18.06
993,18.06
994,18.06
995,18.06
996,18.06
997,18.06
998,18.06
999,18.06
1000,18.06
1001,18.06
1002,18.06
1003,18.06
1004,18.06
1005,18.06
1006,18.06
1007,18.06
1008,18.06
1009,18.06
1010,18.06
1011,18.06
1012,18.06
1013,18.06
1014,18.06
1015,18.06
1016,18.06
1017,18.06
1018,18.06
1019,18.06
1020,18.06
1021,18.06
1022,18.06
1023,18.06
1024,18.06
1025,18.06
1026,18.06
1027,18.06
1028,18.06
1029,18.06
1030,18.06
1031,18.06
1032,18.06
1033,18.06
1034,18.06
1035,18.06
1036,18.06
1037,18.06
1038,18.06
1039,18.06
1040,18.06
1041,18.06
1042,18.06
1043,18.06
1044,18.06
1045,18.06
1046,18.06
1047,18.06
1048,18.06
1049,18.06
1050,18.06
1051,18.06
1052,18.06
1053,18.06
1054,18.06
1055,18.06
1056,18.06
1057,18.06
1058,18.06
1059,18.06
1060,18.06
1061,18.06
1062,18.06
1063,18.06
1064,18.06
1065,18.06
1066,18.06
1067,18.06
1068,18.06
1069,18.06
1070,18.06
1071,18.06
1072,18.06
1073,18.06
1074,18.06
1075,18.06
1076,18.06
1077,18.06
1078,18.06
1079,18.06
1080,18.06
